,Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Total Value,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Total
263,87,12-May-18,ARH/M518/108,108,12-May-18,14-Apr-18,External Chambers,2,4200,8400,7980,718.2,718.2,1436.4,9416.4,9416
264,88,14-May-18,ARH/M518/109,109,14-May-18,19-Apr-18,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
265,89,15-May-18,ARH/M518/110,110,15-May-18,20-Apr-18,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
266,90,16-May-18,ARH/M518/111,111,16-May-18,10-May-18,Conductivity Float Level Switch,1,11700,11700,11115,1000.35,1000.35,2000.7,13465.7,13465
267,91,17-May-18,ARH/M518/112,112,17-May-18,14-Apr-18,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6969,6969
268,92,18-May-18,ARH/M518/113,113,18-May-18,23-Apr-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
269,93,18-May-18,ARH/M518/114,114,18-May-18,24-Apr-18,Miniature Level Switch(SS),1,1502,1502,1276.7,114.903,114.903,229.806,1506.506,1506
270,94,18-May-18,ARH/M518/115,115,18-May-18,25-Apr-18,By-Pass Level Indicator,2,3500,7000,7000,630,630,1260,8260,8260
271,95,21-May-18,ARH/M518/116,116,21-May-18,14-Apr-18,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
272,96,22-May-18,ARH/M518/117,117,22-May-18,27-Apr-18,Tubuler Type Level Gauge,4,2900,11600,11600,1044,1044,2088,13813,13813
273,97,23-May-18,ARH/M518/118,118,23-May-18,28-Apr-18,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
274,98,24-May-18,ARH/M518/119,119,24-May-18,14-Apr-18,By-Pass Level Indicator,5,3500,17500,17500,1575,1575,3150,20650,20650
275,99,25-May-18,ARH/M518/120,120,25-May-18,30-Apr-18,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
276,100,25-May-18,ARH/M518/121,121,25-May-18,23-Apr-18,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
277,101,1-Jun-18,ARH/J618/100,100,1-Jun-18,6-May-18,Tubuler Type Level Gauge,3,2900,8700,8700,783,783,1566,10391,10391
278,102,2-Jun-18,ARH/J618/101,101,2-Jun-18,7-May-18,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
279,103,5-Jun-18,ARH/J618/102,102,5-Jun-18,2-Jun-18,By-Pass Level Indicator,2,3500,7000,7000,630,630,1260,8260,8260
280,104,6-Jun-18,ARH/J618/103,103,6-Jun-18,,Magnetic Float Level Switch,1,12300,12300,11685,1051.65,1051.65,2103.3,14138.3,14138
281,105,7-Jun-18,ARH/J618/104,104,7-Jun-18,10-May-18,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6969,6969
282,106,8-Jun-18,ARH/J618/105,105,8-Jun-18,,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
283,107,9-Jun-18,ARH/J618/106,106,9-Jun-18,12-May-18,By-Pass Level Indicator,5,3500,17500,17500,1575,1575,3150,20650,20650
